"","target_id","num_aggregated_transcripts","sum_mean_obs_counts","pval","qval"
"1","LOC100230285",6,48.6590152443919,8.39896359698204e-114,9.04232420851087e-110
"2","LOC100231656",1,4.70114181273177,1.95262514709977e-106,1.05109811668381e-102
"3","LOC100222004",2,8.5561541240847,2.6448738681762e-85,9.49157068826165e-82
"4","CLDN5",6,21.6111531118117,2.10624271080908e-79,5.66895225614265e-76
"5","CDON",2,12.65339039893,8.61343018471158e-64,1.8546437873721e-60
"6","RFLNA",1,5.28572429065479,1.59299898415734e-58,2.85837117723965e-55
"7","PDZRN3",2,9.11346351848351,1.86709640712378e-57,2.87159427415637e-54
"8","LOC100222674",1,4.19561942227353,1.78247255575539e-55,2.39876244190781e-52
"9","PRRX1",1,5.87677819188786,6.75201086708546e-51,8.07690544389356e-48
"10","CNDP2",1,6.54730115862135,8.78566394470824e-48,9.45864580287289e-45
"11","MCF2",1,4.78709967641587,4.02581724996693e-47,3.94017713755854e-44
"12","BAMBI",1,5.74157559058987,4.88173298633904e-47,4.37972811091051e-44
"13","CHGB",1,5.14220875797424,2.13576256283078e-44,1.76873998087971e-41
"14","BAG2",1,4.48162838385841,1.58249324613856e-43,1.21693730628055e-40
"15","XG",1,6.48991859367695,7.25214506779944e-43,5.20510625332858e-40
"16","TSPEAR",1,6.67554745433177,1.91874767347079e-42,1.29107734078666e-39
"17","LAMC2",2,8.56535990849009,8.7143827005161e-42,5.51876730316213e-39
"18","TSPAN1",1,3.87535407774132,8.06622166501293e-40,4.8244968025294e-37
"19","RAB27A",1,6.18073215594786,4.04594092972391e-37,2.29255789733724e-34
"20","EAF2",1,5.49795743953373,4.2800583634338e-36,2.1942432543204e-33
"21","NFIC",2,12.4080572370254,4.12183583650813e-36,2.1942432543204e-33
"22","NEFL",1,3.98448662155784,5.45847536636773e-36,2.67117935428705e-33
"23","DOK4",1,5.05841623467465,5.97572820711305e-36,2.79716042946866e-33
"24","SLC7A11",1,5.0962776241449,1.15234767863588e-35,5.16923962841411e-33
"25","LOC115498516",1,6.00190577851133,6.23283785280651e-35,2.68410929293259e-32
"26","CA2",2,9.72421700453148,3.92268280777188e-34,1.62429242724892e-31
"27","SLC49A3",2,8.08019026326068,5.86574697490157e-34,2.33891229377001e-31
"28","MOSPD2",2,8.14882120456411,2.08692729258095e-33,8.02423543997376e-31
"29","TBX1",1,6.81171198136905,7.35312124031753e-33,2.72978287149167e-30
"30","TJP3",1,5.18644528096395,7.91151654640033e-33,2.83917957128487e-30
"31","ANKK1",1,4.38483465513437,3.29609406778377e-32,1.14470157205678e-29
"32","LOC100219014",1,5.01414181106379,6.73824524422372e-31,2.26699838435352e-28
"33","SPON2",1,5.51691211129142,1.60512981214519e-30,5.23661441138034e-28
"34","HOXA5",1,2.83937875351223,3.03595219868572e-30,9.6132533444266e-28
"35","PTHLH",1,6.0862311914887,1.05325350530623e-29,3.23980778232197e-27
"36","MT4",1,6.47212693379141,1.54439967286855e-29,4.61861302169521e-27
"37","ACAN",1,5.40908727369701,6.38896337387428e-29,1.85901566711163e-26
"38","VIM",2,13.2972439260968,1.72857953553778e-28,4.8973387577894e-26
"39","RASSF10",1,4.42031941523715,1.02967233986664e-27,2.84242369512929e-25
"40","TDRP",1,4.59780127123975,1.24497448942779e-26,3.3508488382949e-24
"41","LOC100219136",1,4.92307625940864,1.30013192471897e-26,3.41395617110353e-24
"42","NTS",1,4.87669969846496,1.51820609698333e-26,3.89166829526728e-24
"43","EIF4EBP2",1,6.31422650363154,2.73994135014707e-26,6.86004850597288e-24
"44","NRP1",1,7.88557258657286,3.20004265094102e-26,7.82992254091614e-24
"45","ITGB4",6,28.7864174826588,1.42887891733602e-25,3.41851342756435e-23
"46","TGM6",1,2.83040456392396,2.09359029014679e-25,4.89991153559137e-23
"47","PLEKHG4",2,12.5164100554162,3.40799602955121e-25,7.80648622428689e-23
"48","HSP90AA1",3,16.8772363415589,3.60164176112894e-25,8.07818233339878e-23
"49","PPP2R3A",1,6.22009519543388,5.44416276469641e-25,1.19616033315758e-22
"50","HOXA2",2,6.45144644539356,1.43288695911389e-24,3.08529220036404e-22
